,quote,author,category
468856,"If the Republicans will stop telling lies about the Democrats, we will stop telling the truth about them.",Adlai E. Stevenson,"Stop, Will, Republicans "
488129,"I talk to myself, especially in the car.",Chris Pine,"Myself, Talk "
255378,"I need to hear the words of this book—its truth, forgiveness, hope—as much as anybody.” Nathaniel looked up with an apologetic smile. “I know I’m no great orator. But I ask you to bear with me as I fumble through this new duty.","Julie Klassen, The Maid of Fairbourne Hall","bible, fairbourne-hall, nathaniel-upchurchiel"
278513,"If government is to respect people's autonomy, or to treat them with dignity, it should not deprive them of freedom. It should treat them as adults, rather than children or infants.",Cass R. Sunstein,"dignity, infantilization, respect"
31225,"Once to swim I sought the sea-side,There to sport among the billows;With the stone of many colorsSank poor Aino to the bottomOf the deep and boundless blue-sea,Like a pretty son-bird, perished.Never come a-fishing, father,To the borders of these waters,Never during all thy life-time,As thou lovest daughter Aino.Mother dear, I sought the sea-side,There to sport among the billows;With the stone of many colors,Sank poor Aino to the bottomOf the deep and boundless blue-sea,Like a pretty song-bird perished.Never mix thy bread, dear mother,With the blue-sea's foam and waters,Never during all thy life-time,As thou lovest daughter Aino.Brother dear, I sought the sea-side,There to sport among the billows;With the stone of many colorsSank poor Aino to the bottomOf the deep and boundless blue-sea,Like a pretty song-bird perished.Never bring thy prancing war-horse,Never bring thy royal racer,Never bring thy steeds to water,To the borders of the blue-sea,Never during all thy life-time,As thou lovest sister Aino.Sister dear, I sought the sea-side,There to sport among the billows;With the stone of many colorsSank poor Aino to the bottomOf the deep and boundless blue-sea,Like a pretty song-bird perished.Never come to lave thine eyelidsIn this rolling wave and sea-foam,Never during all thy life-time,As thou lovest sister Aino.All the waters in the blue-seaShall be blood of Aino's body;All the fish that swim these watersShall be Aino's flesh forever;All the willows on the sea-sideShall be Aino's ribs hereafter;All the sea-grass on the marginWill have grown from Aino's tresses.","Elias Lönnrot, The Kalevala","death, transcendence"
143724,To be afraid of sorrow is to be afraid of joy also.,Rebecca West,"fear, grief, joy, sorrow"
206711,"Nor is he liberal who gives with pain; for he would prefer the wealth to the noble act, and this is not characteristic of a liberal man. But no more will the liberal man take from wrong sources; for such taking is not characteristic of the man who sets no store by wealth.","Aristotle, The Nicomachean Ethics","capitalism, ethics, liberalism, wealth"
28858,"...but if there was one thing that all my years as the Spider, all the battles, all the brushes with my own death, had taught me, then it was THIS.That THIS was what was important. This moment right now and all the ones that we are lucky enough to have after it. Today, tomorrow, hell, maybe even forever.","Jennifer Estep, Heart of Venom","hope, urban-fantasy"
469643,"Creating art is painful. It takes time, practice, and the courage to stand alone.",Maria Semple,"Time, Art, Alone "
378263,"Twenty years of schooling and they put you on the day shift - look out out kid, they keep it all hid",Bob Dylan,lyrics
83577,"It was a red-flannel chest-protector, one of those large quasi-hygienic objects that with pills and medicines take the place of beneficial relics and images among the Protestant peoples of Christendom.",H.G. Wells,humour
363316,"Guys don't understand great art. They don't care that sometimes the camera has power beyond the photographer to record emotion that only the heart can see. They're threatened when the camera jumps ahead of me. Todd Kovich was pissed when I brought my Nikon to the prom, but I'd missed too many transcendent shots over the years to ever take a chance of missing one again. A prom, I told him, had a boundless supply of photogenic bozos who could be counted on to do something base.","Joan Bauer, Thwonk","artists, boyfriend, high-school, photography, prom"
57427,"To become a king of that territory, you must not allow any of your time pass without converting it into building your skills in that area of life.","Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?","building-your-skills, calling, conversion, convert, gift, great, greatness, humanity, king-of-territory, life, poverty, produce, product, productivity, purpose, skills, territory, time, time-conversion, time-wasting, value, waste, wealth, work, world"
416695,A feeling of sadness and longing that is not akin to pain  and resembles sorrow only as the mist resembles the rain.,Henry Wadsworth Longfellow,sad
9285,"No adolescent ever wants to be understood, which is why they complain about being misunderstood all the time.","Stephen Fry, Moab Is My Washpot","adolescence, complaints, humor, understanding"
202766,Let us be the wind of love that touches every heart and blows away all of the misery and sadness.,Debasish Mridha,"blow-away-misery, debasish-mridha, debasish-mridha-m-d, inspirational, love, misery-and-sadness, philosophy, quotes, wind-of-love"
74268,"I hated reunions. It made myself felt so little afterwards. When I was there, I couldn’t help not knowing. But after I knew things, I couldn’t stop comparing. I was congratulating people when they told me the good news, but deep inside I was wondering whether their good news was better than mine. Life wasn’t supposed to be a competition, but it really felt like one.","Marcella Purnama, What I Wish I Had Known","competition, friends, friendship, life, reunion"
308947,"All in all, the lunch date was fine. Like an opened can of soda in its second hour. If you were thirsty, you might take a sip or two, but I carried more hopes walking in to the restaurant than I did walking out.","Heather Dugan, Pickup In Aisle Twelve","dating, humor, relationships"
362919,"Anyway, Arianna and I left the castle very late one evening. I knew the knight on guard at the drawbridge so I hit hit him over the head because I didn't want to hurt him.Garion blinked.""I knew he'd be honor-bound to try to stop us,"" Lelldorin explained. ""I didn't want to have to kill him, so I hit him over the head.""""I suppose that makes sense,"" Garion said dubiously.""Arianna's almost positive he won't die.""""DIE?""""I hit him just a little too hard, I think.",David Eddings,"awesome, crazy, funny, hilarious, lelldorin, the-belgariad"
